,index,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,cross_registrations
2447,4423,NCT04389801,ClinicalTrials.gov,2020-05-13,2020-06-01,False,Hesham Al-Inany,Not Recruiting,Phase 4,Interventional,No Country Given,Use of Desferal for Prevention of ARDS in Hospitalised Cases Documented With Covid 19 Infection,Drug,Deferoxamine,Deferoxamine,200,https://clinicaltrials.gov/show/NCT04389801,None
2448,4424,NCT04389840,ClinicalTrials.gov,2020-05-13,2020-06-03,False,Chimerix,Recruiting,Phase 2/Phase 3,Interventional,United States,Dociparstat for the Treatment of Severe COVID-19 in Adults at High Risk of Respiratory Failure,Drug,Heparin,Heparin,524,https://clinicaltrials.gov/show/NCT04389840,None
2449,4425,NCT04389944,ClinicalTrials.gov,2020-05-12,2020-03-31,True,"University Hospital, Basel",Not Recruiting,Not Applicable,Interventional,Switzerland,Amotosalen-Ultraviolet A Pathogen-Inactivated Convalescent Plasma in Addition to Best Supportive Care and Antiviral Therapy on Clinical Deterioration in Adults Presenting With Moderate to Severe COVID-19,ATMP,Plasma,Plasma,15,https://clinicaltrials.gov/show/NCT04389944,None
2450,4427,NCT04390022,ClinicalTrials.gov,2020-05-07,2020-07-31,False,Clínica Universidad de Navarra,Not Recruiting,Phase 2,Interventional,Spain,Sars-CoV-2/COVID-19 Ivermectin Navarra-ISGlobal Trial,Drug,Ivermectin,Ivermectin,24,https://clinicaltrials.gov/show/NCT04390022,None
2451,4428,NCT04390061,ClinicalTrials.gov,2020-05-13,2020-06-01,True,Universit Politecnica delle Marche,Not Recruiting,Phase 2,Interventional,No Country Given,TOFAcitinib Plus Hydroxycloroquine vs Hydroxycloroquine in Patients With COVID-19 Interstitial Pneumonia,Drug,Tofacitinib + Hydroxycloroquine vs. Hydroxycloroquine,Tofacitinib; Hydroxycloroquine,116,https://clinicaltrials.gov/show/NCT04390061,EUCTR2020-002035-30
2452,4431,NCT04390139,ClinicalTrials.gov,2020-05-07,2020-05-13,False,Banc de Sang i Teixits,Recruiting,Phase 1/Phase 2,Interventional,Spain,Efficacy and Safety Evaluation of Mesenchymal Stem Cells for the Treatment of Patients With Respiratory Distress Due to COVID-19,ATMP,Cells (mesenchymal),Cells (mesenchymal),30,https://clinicaltrials.gov/show/NCT04390139,None
2453,4432,NCT04390152,ClinicalTrials.gov,2020-05-12,2020-09-01,False,BioXcellerator,Not Recruiting,Phase 1/Phase 2,Interventional,Colombia,Safety and Efficacy of Intravenous Wharton's Jelly Derived Mesenchymal Stem Cells in Acute Respiratory Distress Syndrome Due to COVID 19,ATMP,Cells (mesenchymal),Cells (mesenchymal),40,https://clinicaltrials.gov/show/NCT04390152,None
2454,4434,NCT04390178,ClinicalTrials.gov,2020-04-10,2020-04-10,False,Joakim Dillner,Not Recruiting,Phase 1/Phase 2,Interventional,Sweden,Convalescent Plasma as Treatment for Acute Coronavirus Disease (COVID-19),ATMP,Plasma,Plasma,10,https://clinicaltrials.gov/show/NCT04390178,None
2455,4435,NCT04390191,ClinicalTrials.gov,2020-05-12,2020-05-07,True,Icahn School of Medicine at Mount Sinai,Recruiting,Not Applicable,Interventional,United States,Early CPAP in COVID-19 Confirmed or Suspected Patients,Other (device),CPAP,CPAP,200,https://clinicaltrials.gov/show/NCT04390191,None
2456,4436,NCT04390217,ClinicalTrials.gov,2020-05-13,2020-10-31,False,"Leading BioSciences, Inc",Not Recruiting,Phase 2,Interventional,No Country Given,LB1148 for Pulmonary Dysfunction Associated With COVID-19 Pneumonia,Drug,LB1148,LB1148,120,https://clinicaltrials.gov/show/NCT04390217,None
2457,4438,NCT04390412,ClinicalTrials.gov,2020-05-13,2020-05-04,False,Shahid Beheshti University of Medical Sciences,Not Recruiting,Phase 1/Phase 2,Interventional,Iran,Low Dose Radiotherapy in COVID-19 Pneumonia,Other,Radiation,Radiation,5,https://clinicaltrials.gov/show/NCT04390412,IRCT20200509047366N1
2458,4439,NCT04390464,ClinicalTrials.gov,2020-05-08,2020-05-08,True,Cambridge University Hospitals NHS Foundation Trust,Recruiting,Phase 4,Interventional,United Kingdom,mulTi-Arm Therapeutic Study in Pre-ICu Patients Admitted With Covid-19 - Repurposed Drugs (TACTIC-R),Drug,Ravulizumab vs. Baricitinib,Ravulizumab; Baricitinib,1167,https://clinicaltrials.gov/show/NCT04390464,EUCTR2020-001354-22; ISRCTN11188345
2459,4440,NCT04390477,ClinicalTrials.gov,2020-05-07,2020-05-04,True,Bioithas SL,Recruiting,Not Applicable,Interventional,Spain,Study to Evaluate the Effect of a Probiotic in COVID-19,Supplement,Probiotics,Probiotics,40,https://clinicaltrials.gov/show/NCT04390477,None
2460,4441,NCT04390503,ClinicalTrials.gov,2020-05-14,2020-05-01,True,Columbia University,Recruiting,Phase 2,Interventional,United States,Convalescent Plasma for COVID-19 Close Contacts,ATMP,Plasma,Plasma,200,https://clinicaltrials.gov/show/NCT04390503,None
2461,4442,NCT04390516,ClinicalTrials.gov,2020-05-14,2020-03-24,True,Dascena,Not Recruiting,Not Applicable,Interventional,United States,Respiratory Decompensation and Model for the Triage of COVID-19 Patients,Prognosis,No Intervention,No Intervention,197,https://clinicaltrials.gov/show/NCT04390516,None
2462,4444,NCT04390594,ClinicalTrials.gov,2020-05-14,2020-08-13,False,Institut Pasteur,Recruiting,Phase 3,Interventional,Senegal,Efficacy and Safety Evaluation of Treatment Regimens in Adult COVID-19 Patients in Senegal,Drug,Hydroxychloroquine vs. Hydroxychloroquine + Azithromycin,Hydroxychloroquine; Azithromycin,186,https://clinicaltrials.gov/show/NCT04390594,None
2463,4445,NCT04391101,ClinicalTrials.gov,2020-05-08,2020-06-01,False,Hospital San Vicente Fundación,Not Recruiting,Phase 3,Interventional,Colombia,Convalescent Plasma for the Treatment of Severe SARS-CoV-2 (COVID-19),ATMP,Plasma,Plasma,231,https://clinicaltrials.gov/show/NCT04391101,None
2464,4446,NCT04391127,ClinicalTrials.gov,2020-05-12,2020-05-04,True,Centenario Hospital Miguel Hidalgo,Not Recruiting,Phase 3,Interventional,Mexico,Hydroxychloroquine and Ivermectin for the Treatment of COVID-19 Infection,Drug,Hydroxychloroquine vs. Ivermectin,Hydroxychloroquine; Ivermectin,108,https://clinicaltrials.gov/show/NCT04391127,None
2465,4447,NCT04391140,ClinicalTrials.gov,2020-05-10,2020-05-13,False,Vall d'Hebron Research Institute (VHIR),Recruiting,Not Applicable,Interventional,Spain,Prone Positioning and High-flow Nasal Cannula in COVID-19 Induced ARDS,Procedure,Positioning,Positioning,248,https://clinicaltrials.gov/show/NCT04391140,None
2466,4449,NCT04391179,ClinicalTrials.gov,2020-05-15,2020-05-31,False,University of Michigan,Recruiting,Phase 2,Interventional,United States,Dipyridamole to Prevent Coronavirus Exacerbation of Respiratory Status (DICER) in COVID-19,Drug,Dipyridamole,Dipyridamole,80,https://clinicaltrials.gov/show/NCT04391179,None
2467,4450,NCT04391309,ClinicalTrials.gov,2020-05-14,2020-07-01,False,Implicit Bioscience,Not Recruiting,Phase 2,Interventional,United States,IC14 (Anti-CD14) Treatment in Patients With SARS-CoV-2 (COVID-19),Drug,IC14,IC14,300,https://clinicaltrials.gov/show/NCT04391309,None
2468,4453,NCT04391712,ClinicalTrials.gov,2020-05-04,2020-04-30,True,Lowell General Hospital,Not Recruiting,Phase 2,Interventional,United States,Photobiomodulation Laser Therapy for COVID-19 Positive Patients With Pulmonary Disease,Other (device),Cold Laser Therapy,Cold Laser Therapy,10,https://clinicaltrials.gov/show/NCT04391712,None
2469,4455,NCT04391829,ClinicalTrials.gov,2020-05-13,2020-08-31,False,UZ Brussel,Recruiting,Not Applicable,Interventional,Belgium,Detection of SARS-CoV-2 in Semen of COVID-19 Positive Males,Clinical Presentation,No Intervention,No Intervention,20,https://clinicaltrials.gov/show/NCT04391829,None
2470,4460,NCT04392115,ClinicalTrials.gov,2020-05-15,2020-06-15,False,Ottawa Hospital Research Institute,Not Recruiting,Not Applicable,Interventional,No Country Given,The PREPARE for COVID Trial,Other (exercise),Exercise,Exercise,372,https://clinicaltrials.gov/show/NCT04392115,None
2471,4461,NCT04392128,ClinicalTrials.gov,2020-05-15,2020-09-02,False,Institut de Cancérologie Strasbourg Europe (ICANS),Not Recruiting,Phase 2,Interventional,France,Study Evaluating the Efficacy of Hydroxychloroquine and Azithromycine in Patients With COVID-19 and Hematological Malignancies (HYACINTHE),Drug,Hydroxychloroquine vs. Azithromycin,Hydroxychloroquine; Azithromycin,0,https://clinicaltrials.gov/show/NCT04392128,None
2472,4462,NCT04392141,ClinicalTrials.gov,2020-05-15,2020-04-01,False,Kermanshah University of Medical Sciences,Recruiting,Phase 1/Phase 2,Interventional,Iran,Colchicine Plus Phenolic Monoterpenes to Treat COVID-19,Drug,Colchicine + Phenolic Monoterpenes,Colchicine; Phenolic Monoterpenes,200,https://clinicaltrials.gov/show/NCT04392141,IRCT20150623022884N3
2473,4463,NCT04392219,ClinicalTrials.gov,2020-04-29,2020-04-10,True,Ridgeback Biotherapeutics,Not Recruiting,Phase 1,Interventional,"United Kingdom, United States","COVID-19 First In Human Study to Evaluate Safety, Tolerability, and Pharmacokinetics of EIDD-2801 in Healthy Volunteers",Drug,EIDD-2801,EIDD-2801,130,https://clinicaltrials.gov/show/NCT04392219,None
2474,4464,NCT04392232,ClinicalTrials.gov,2020-05-15,2020-05-05,True,TriHealth Inc.,Recruiting,Phase 2,Interventional,United States,A Study of COVID 19 Convalescent Plasma in High Risk Patients With COVID 19 Infection,ATMP,Plasma,Plasma,100,https://clinicaltrials.gov/show/NCT04392232,None
2475,4466,NCT04392323,ClinicalTrials.gov,2020-05-15,2020-05-13,True,Northwell Health,Recruiting,Not Applicable,Interventional,United States,Incidence of COVID-19 Test Conversion in Post-surgical Patients,Clinical Presentation (Epidemiology),No Intervention,No Intervention,500,https://clinicaltrials.gov/show/NCT04392323,None
2476,4469,NCT04392414,ClinicalTrials.gov,2020-05-13,2020-05-01,True,"Federal Research Clinical Center of Federal Medical & Biological Agency, Russia",Not Recruiting,Phase 2,Interventional,Russian Federation,Hyperimmune Convalescent Plasma in Moderate and Severe COVID-19 Disease,ATMP,Plasma,Plasma,60,https://clinicaltrials.gov/show/NCT04392414,None
2477,4470,NCT04392427,ClinicalTrials.gov,2020-05-12,2020-10-01,False,Mansoura University,Not Recruiting,Phase 3,Interventional,Egypt,New Antiviral Drugs for Treatment of COVID-19,Drug,Nitazoxanide + Ribavirin + Ivermectin,Nitazoxanide; Ribavirin; Ivermectin,100,https://clinicaltrials.gov/show/NCT04392427,None
2478,4471,NCT04392453,ClinicalTrials.gov,2020-05-15,2020-05-01,True,Fondazione Don Carlo Gnocchi Onlus,Not Recruiting,Not Applicable,Interventional,No Country Given,Upper Limb Robotic Rehabilitation During COVID-19 Outbreak,Other (physio),Physio & Rehabilitation,Physio & Rehabilitation,40,https://clinicaltrials.gov/show/NCT04392453,None
2479,4472,NCT04392713,ClinicalTrials.gov,2020-05-05,2020-04-15,True,"Combined Military Hospital, Pakistan",Recruiting,Not Applicable,Interventional,Pakistan,Efficacy of Ivermectin in COVID-19,Drug,Ivermectin,Ivermectin,100,https://clinicaltrials.gov/show/NCT04392713,None
2480,4473,NCT04392778,ClinicalTrials.gov,2020-04-25,2020-04-01,True,SBu Dr. Sadi Konuk Egitim ve Arastirma Hastanesi,Recruiting,Phase 1/Phase 2,Interventional,Turkey,Clinical Use of Stem Cells for the Treatment of Covid-19,ATMP,Cells (mesenchymal),Cells (mesenchymal),30,https://clinicaltrials.gov/show/NCT04392778,None
2481,4474,NCT04392869,ClinicalTrials.gov,2020-05-09,2019-10-23,True,University of Granada,Not Recruiting,Not Applicable,Interventional,Spain,The Effects of Mindfulness-based Training in Undergraduate Students of Translation and Interpreting,Other (psych),Psychological,Psychological,75,https://clinicaltrials.gov/show/NCT04392869,None
2482,4475,NCT04392973,ClinicalTrials.gov,2020-05-10,2020-05-21,False,King Abdullah International Medical Research Center,Recruiting,Not Applicable,Interventional,Saudi Arabia,FAvipiravir and HydroxyChloroquine Combination Therapy,Drug,Favipiravir + Hydroxychloroquine,Favipiravir; Hydroxychloroquine,520,https://clinicaltrials.gov/show/NCT04392973,None
2483,4476,NCT04393038,ClinicalTrials.gov,2020-05-18,2020-05-01,True,Abivax S.A.,Recruiting,Phase 2/Phase 3,Interventional,"Belgium, United Kingdom, Italy, France, Brazil, Germany, Spain, Mexico",ABX464 in Treating Inflammation and Preventing Acute Respiratory Failure in Patients With COVID-19,Drug,ABX464,ABX464,1034,https://clinicaltrials.gov/show/NCT04393038,PER-069-20; EUCTR2020-001673-75
2484,4477,NCT04393051,ClinicalTrials.gov,2020-05-16,2020-05-20,False,AOU Pisana,Not Recruiting,Phase 2,Interventional,Italy,Baricitinib Compared to Standard Therapy in Patients With COVID-19,Drug,Baricitinib,Baricitinib,126,https://clinicaltrials.gov/show/NCT04393051,None
2485,4478,NCT04393077,ClinicalTrials.gov,2020-05-11,2020-05-10,True,Istanbul Saglik Bilimleri University,Not Recruiting,Not Applicable,Interventional,Turkey,Emotional Freedom Technique (EFT) Effect on Nurses,Other (psych),Psychological,Psychological,80,https://clinicaltrials.gov/show/NCT04393077,None
2486,4481,NCT04393246,ClinicalTrials.gov,2020-05-16,2020-07-03,False,Cambridge University Hospitals NHS Foundation Trust,Recruiting,Phase 2/Phase 3,Interventional,United Kingdom,mulTi-Arm Therapeutic Study in Pre-ICu Patients Admitted With Covid-19 - Experimental Drugs and Mechanisms,Drug,EDP1815 vs. Ambrisentan + Dapagliflozin,EDP1815; Ambrisentan; Dapagliflozin,1407,https://clinicaltrials.gov/show/NCT04393246,None
2487,4482,NCT04393311,ClinicalTrials.gov,2020-05-15,2020-12-01,False,Stanford University,Not Recruiting,Phase 1/Phase 2,Interventional,United States,Ulinastatin for the Treatment of COVID-19 in Hospitalized Patients,Drug,Ulinastatin,Ulinastatin,160,https://clinicaltrials.gov/show/NCT04393311,None
2488,4485,NCT04393415,ClinicalTrials.gov,2020-05-15,2020-05-25,False,Aljazeera Hospital,Recruiting,Not Applicable,Interventional,Egypt,Using PRP and Cord Blood in Treatment of Covid -19,ATMP,Cells (stem cells),Cells (stem cells),100,https://clinicaltrials.gov/show/NCT04393415,None
2489,4488,NCT04393636,ClinicalTrials.gov,2020-05-11,2020-06-05,False,Academic Hospital Maastricht,Recruiting,Not Applicable,Interventional,Netherlands,Digital Cardiac Counseling Trial: DCC Trial,Other (software),eHealth,eHealth,394,https://clinicaltrials.gov/show/NCT04393636,None
2490,4490,NCT04393727,ClinicalTrials.gov,2020-05-16,2020-05-01,True,AOU Pisana,Not Recruiting,Phase 2,Interventional,Italy,Transfusion of Convalescent Plasma for the Early Treatment of Patients With COVID-19,ATMP,Plasma,Plasma,1,https://clinicaltrials.gov/show/NCT04393727,None
2491,4491,NCT04393792,ClinicalTrials.gov,2020-05-18,2020-05-01,True,Hampshire Hospitals NHS Foundation Trust,Recruiting,Phase 1,Interventional,United Kingdom,SINUS WASH Pilot Study in Adults Testing Positive for COVID-19,Drug,Povidone Iodine,Povidone Iodine,40,https://clinicaltrials.gov/show/NCT04393792,EUCTR2020-001721-31
2492,4493,NCT04393818,ClinicalTrials.gov,2020-05-18,2020-05-05,True,Fundació d'investigació Sanitària de les Illes Balears,Not Recruiting,Phase 3,Interventional,Spain,Mobile Phone Based Intervention to Protect Mental Health in Healthcare Workers at Frontline Against COVID19,Other (psych),Psychological,Psychological,560,https://clinicaltrials.gov/show/NCT04393818,None
2493,4494,NCT04393948,ClinicalTrials.gov,2020-05-15,2020-06-01,False,Brigham and Women's Hospital,Recruiting,Not Applicable,Interventional,United States,Lung Irradiation for COVID-19 Pneumonia,Other,Radiation,Radiation,48,https://clinicaltrials.gov/show/NCT04393948,None
2494,4495,NCT04393961,ClinicalTrials.gov,2020-04-24,2020-04-05,True,ProofPilot,Recruiting,Not Applicable,Interventional,United States,At-Home COVID-19 Antibody Test Usability Assessment & Behavior Change Study,Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,600,https://clinicaltrials.gov/show/NCT04393961,None
2495,4498,NCT04394013,ClinicalTrials.gov,2020-05-18,2020-08-26,False,Monash University Malaysia,Recruiting,Not Applicable,Interventional,Malaysia,A Web-Based Gentle Body Stretching to Alleviate Loneliness and Improve Mental Fitness During COVID-19 Isolation Period,Other (psych),Psychological,Psychological,70,https://clinicaltrials.gov/show/NCT04394013,None
2496,4500,NCT04394039,ClinicalTrials.gov,2020-05-13,2020-06-01,False,"National University, Singapore",Not Recruiting,Not Applicable,Interventional,Singapore,Post-Pandemic Perception of Public Space in Singapore,Other,No Intervention,No Intervention,34,https://clinicaltrials.gov/show/NCT04394039,None
2497,4502,NCT04394117,ClinicalTrials.gov,2020-05-18,2020-06-19,False,The George Institute for Global Health,Recruiting,Phase 4,Interventional,Australia,Controlled evaLuation of Angiotensin Receptor Blockers for COVID-19 respIraTorY Disease,Drug,ARBs,ARBs,605,https://clinicaltrials.gov/show/NCT04394117,None
2498,4503,NCT04394169,ClinicalTrials.gov,2020-05-13,2020-05-25,False,Hospital Clinic of Barcelona,Recruiting,Not Applicable,Interventional,Spain,Early Care Program for the Management of Post-ICU Syndrome and Chronic Pain After COVID-19 Infection.,Other,Other,Other,102,https://clinicaltrials.gov/show/NCT04394169,None
2499,4504,NCT04394182,ClinicalTrials.gov,2020-05-15,2020-04-21,True,Fundación Genesiscare,Recruiting,Not Applicable,Interventional,Spain,Ultra Low Doses of Therapy With Radiation Applicated to COVID-19,Other,"Radiation (with Lopinavir/ritonavir, Hydroxychloroquine, Azithromycin, Piperacillin/tazobactam, Heparin, Corticosteroids, Tocilizumab)",Radiation; Lopinavir/ritonavir; Hydroxychloroquine; Azithromycin; Piperacillin/tazobactam; Heparin; Methylprednisolone; Tocilizumab,15,https://clinicaltrials.gov/show/NCT04394182,None
2500,4506,NCT04394208,ClinicalTrials.gov,2020-05-15,2020-08-16,False,Cairo University,Recruiting,Phase 3,Interventional,Egypt,Silymarin in COVID-19 Pneumonia,Drug,Silymarin,Silymarin,50,https://clinicaltrials.gov/show/NCT04394208,None
2501,4507,NCT04394377,ClinicalTrials.gov,2020-05-08,2020-06-21,False,Brazilian Clinical Research Institute,Recruiting,Phase 4,Interventional,Brazil,Full Anticoagulation Versus Prophylaxis in COVID-19: COALIZAO ACTION Trial,Drug,Rivaroxaban + Heparin,Rivaroxaban; Heparin,600,https://clinicaltrials.gov/show/NCT04394377,None
2502,4509,NCT04394403,ClinicalTrials.gov,2020-05-13,2020-05-14,False,Hebrew University of Jerusalem,Recruiting,Not Applicable,Interventional,Israel,Pilot Internet-based Self-Help Program for Managing Corona (COVID-19) Stress,Other (psych),Psychological,Psychological,120,https://clinicaltrials.gov/show/NCT04394403,None
2503,4510,NCT04394416,ClinicalTrials.gov,2020-05-08,2020-06-02,False,"University of Maryland, Baltimore",Recruiting,Phase 3,Interventional,United States,Trial of Imatinib for Hospitalized Adults With COVID-19,Drug,Imatinib,Imatinib,204,https://clinicaltrials.gov/show/NCT04394416,None
2504,4512,NCT04394442,ClinicalTrials.gov,2020-05-17,2020-03-21,True,Samah Lutfy,Recruiting,Phase 2,Interventional,Saudi Arabia,Hydroxychloroquine in COVID-19 Patients,Drug,Hydroxychloroquine,Hydroxychloroquine,200,https://clinicaltrials.gov/show/NCT04394442,None
2505,4513,NCT04394455,ClinicalTrials.gov,2020-05-03,2020-06-30,False,Universidad Nacional Autónoma de Honduras,Recruiting,Not Applicable,Interventional,Honduras,Brief Cognitive Behavioral Therapy Versus Crisis Intervention Therapy Through Telepsychiatry on Psychiatric Symptoms,Other (psych),Psychological,Psychological,236,https://clinicaltrials.gov/show/NCT04394455,None
2506,4514,NCT04394793,ClinicalTrials.gov,2020-05-17,2020-06-13,False,All India Institute of Medical Sciences,Not Recruiting,Not Applicable,Interventional,India,Low Dose Radiation Therapy for Covid-19 Pneumonia,Other,Radiation,Radiation,10,https://clinicaltrials.gov/show/NCT04394793,None
2507,4515,NCT04395105,ClinicalTrials.gov,2020-05-16,2020-05-21,False,Centro de Educación Medica e Investigaciones Clínicas Norberto Quirno,Recruiting,Phase 3,Interventional,Argentina,"Dexamethasone for COVID-19 Related ARDS: a Multicenter, Randomized Clinical Trial",Drug,Corticosteroids,Dexamethasone,284,https://clinicaltrials.gov/show/NCT04395105,None
2508,4516,NCT04395144,ClinicalTrials.gov,2020-05-15,2020-05-15,False,Hôpital de Verdun,Recruiting,Not Applicable,Interventional,Canada,COVid-19: Awake Proning and High-flow Nasal Cannula in respiratorY DistrEss,Procedure,Positioning,Positioning,346,https://clinicaltrials.gov/show/NCT04395144,None
2509,4517,NCT04395170,ClinicalTrials.gov,2020-05-15,2020-09-01,False,Lifefactors Zona Franca,Not Recruiting,Phase 2/Phase 3,Interventional,Colombia,Convalescent Plasma (PC) and Human Intravenous Anti-COVID-19 Immunoglobulin (IV Anti COVID-19 IgG) in Patients Hospitalized for COVID-19.,ATMP,Plasma vs. Immunoglobulin,Plasma; Immunoglobulin,75,https://clinicaltrials.gov/show/NCT04395170,None
2510,4520,NCT04395430,ClinicalTrials.gov,2020-02-03,2020-09-01,False,KK Women's and Children's Hospital,Not Recruiting,Not Applicable,Interventional,No Country Given,A Novel School-clinic-community Online Model of Child Obesity Treatment in Singapore During COVID-19,Other (exercise),Exercise,Exercise,40,https://clinicaltrials.gov/show/NCT04395430,None
2511,4521,NCT04395456,ClinicalTrials.gov,2020-05-19,2020-07-01,False,Amyndas Pharmaceuticals S.A.,Not Recruiting,Phase 2,Interventional,No Country Given,A Phase 2 Study of the C3 Inhibitor AMY-101 in Patients With ARDS Due to COVID-19 (SAVE),Drug,AMY-101,AMY-101,144,https://clinicaltrials.gov/show/NCT04395456,None
2512,4524,NCT04395599,ClinicalTrials.gov,2020-05-19,2020-05-01,True,"University Hospital, Lille",Not Recruiting,Not Applicable,Interventional,No Country Given,Risk of Air Contamination During Visceral Surgery in COVID19 Patients,Other,No Intervention,No Intervention,40,https://clinicaltrials.gov/show/NCT04395599,None
2513,4526,NCT04395716,ClinicalTrials.gov,2020-05-19,2020-07-01,False,ProgenaBiome,Not Recruiting,Phase 1,Interventional,United States,A Study of ResCureâ„¢ to Treat COVID-19 Infection,Drug,Unspecified Therapy,Unspecified Therapy,50,https://clinicaltrials.gov/show/NCT04395716,None
2514,4529,NCT04395768,ClinicalTrials.gov,2020-05-18,2020-09-09,False,"National Institute of Integrative Medicine, Australia",Recruiting,Phase 2,Interventional,Australia,International ALLIANCE Study of Therapies to Prevent Progression of COVID-19,Drug,Vitamin C + Hydroxychloroquine + Azithromycin + Zinc + Vitamin D + Vitamin B vs. Hydroxychloroquine + Azithromycin + Zinc + Vitamin D + Vitamin B ,Vitamin C; Hydroxychloroquine; Azithromycin; Zinc; Vitamin D; Vitamin B,200,https://clinicaltrials.gov/show/NCT04395768,None
2515,4532,NCT04395807,ClinicalTrials.gov,2020-05-18,2020-06-03,False,Lund University,Recruiting,Not Applicable,Interventional,Sweden,Helmet CPAP Versus HFNC in COVID-19,Other (device),CPAP vs. Nasal cannula,CPAP; Nasal cannula,120,https://clinicaltrials.gov/show/NCT04395807,None
2516,4538,NCT04395976,ClinicalTrials.gov,2020-05-19,2020-06-10,False,British Ayurvedic Medical Council,Not Recruiting,Not Applicable,Interventional,United Kingdom,Ayurveda as Prophylaxis for Suspected COVID-19 Patients,Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,120,https://clinicaltrials.gov/show/NCT04395976,None
2517,4539,NCT04396067,ClinicalTrials.gov,2020-05-18,2020-10-01,False,Kafrelsheikh University,Not Recruiting,Phase 2,Interventional,No Country Given,Aerosol Combination Therapy of All-trans Retinoic Acid and Isotretinoin as A Novel Treatment for Inducing Neutralizing Antibodies in COVID -19 Infected Patients Better Than Vaccine : An Innovative Treatment,Drug,Retinoic acid,Retinoic acid,360,https://clinicaltrials.gov/show/NCT04396067,None
2518,4540,NCT04396106,ClinicalTrials.gov,2020-05-16,2020-05-26,True,"Atea Pharmaceuticals, Inc.",Recruiting,Phase 2,Interventional,"Belgium, South Africa, Ukraine, Brazil, Romania, United States, Moldova, Republic of",Safety and Efficacy of AT-527 in Subjects With Moderate Coronavirus Disease (COVID-19),Drug,AT-527,AT-527,190,https://clinicaltrials.gov/show/NCT04396106,EUCTR2020-002869-34
2519,4543,NCT04396314,ClinicalTrials.gov,2020-05-15,2021-01-01,False,University of Lleida,Not Recruiting,Not Applicable,Interventional,No Country Given,Effectiveness of Basic Body Awareness Therapy in Post-traumatic Stress Disorders: A Randomized Clinical Trial,Other (psych),Psychological,Psychological,54,https://clinicaltrials.gov/show/NCT04396314,None
2520,4548,NCT04397328,ClinicalTrials.gov,2020-05-13,2020-05-19,False,Lawson Health Research Institute,Not Recruiting,Phase 3,Interventional,No Country Given,COVID-19 PEP- High-risk Individuals in Long-term and Specialized Care - Canada,Drug (Chemoprophylaxis),Hydroxychloroquine,Hydroxychloroquine,336,https://clinicaltrials.gov/show/NCT04397328,None
2521,4551,NCT04397497,ClinicalTrials.gov,2020-05-20,2020-05-22,False,IRCCS Ospedale San Raffaele,Not Recruiting,Phase 2,Interventional,Italy,Mavrilimumab in Severe COVID-19 Pneumonia and Hyper-inflammation (COMBAT-19),Drug,Mavrilimumab,Mavrilimumab,50,https://clinicaltrials.gov/show/NCT04397497,None
2522,4552,NCT04397523,ClinicalTrials.gov,2020-05-20,2020-04-30,True,Institute for Transfusion Medicine of RNM,Recruiting,Not Applicable,Interventional,North Macedonia,Efficacy and Safety of COVID-19 Convalescent Plasma,ATMP,Plasma,Plasma,20,https://clinicaltrials.gov/show/NCT04397523,None
2523,4553,NCT04397562,ClinicalTrials.gov,2020-05-19,2020-04-29,True,Biocad,Not Recruiting,Phase 3,Interventional,Russian Federation,A Clinical Trial of the Efficacy and Safety of Levilimab (BCD-089) in Patients With Severe COVID-19,Drug,Levilimab,Levilimab,206,https://clinicaltrials.gov/show/NCT04397562,None
2524,4557,NCT04397666,ClinicalTrials.gov,2020-05-20,2020-05-15,True,Versailles Hospital,Recruiting,Not Applicable,Interventional,France,RT-PCR on Conjunctival Sample for the Detection of SARS-CoV-2 in Patients With Covid-19,Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,68,https://clinicaltrials.gov/show/NCT04397666,None
2525,4558,NCT04397692,ClinicalTrials.gov,2020-05-19,2020-06-13,False,Beyond Air Inc.,Recruiting,Not Applicable,Interventional,United States,Inhaled NO for the Treatment of COVID-19 Caused by SARS-CoV-2 (US Trial),Drug,Nitric Oxide,Nitric Oxide,20,https://clinicaltrials.gov/show/NCT04397692,None
2526,4559,NCT04397705,ClinicalTrials.gov,2020-05-20,2020-06-01,False,The Christie NHS Foundation Trust,Not Recruiting,Phase 1,Interventional,United Kingdom,Remote Monitoring of Cancer Patients With Suspected Covid-19,Other (device),Biosensors,Biosensors,30,https://clinicaltrials.gov/show/NCT04397705,None
2527,4560,NCT04397796,ClinicalTrials.gov,2020-05-18,2020-08-03,False,"NantKwest, Inc.",Recruiting,Phase 1,Interventional,United States,Study of the Safety of Therapeutic Tx With Immunomodulatory MSC in Adults With COVID-19 Infection Requiring Mechanical Ventilation,ATMP,Cells (mesenchymal),Cells (mesenchymal),45,https://clinicaltrials.gov/show/NCT04397796,None
2528,4566,NCT04398004,ClinicalTrials.gov,2020-05-17,2020-05-06,True,Hellenic Institute for the Study of Sepsis,Not Recruiting,Phase 2,Interventional,Greece,Anti-inflammatory Clarithromycin for Improving COVID-19 Infection Early,Drug,Clarithromycin,Clarithromycin,90,https://clinicaltrials.gov/show/NCT04398004,EUCTR2020-001882-36
