ISRCTN,Basic results,Peer-reviewed publications,Overall trial start,Overall trial end,Record last updated,Overall trial status,Recruitment status,EudraCT number,ClinicalTrials.gov number
ISRCTN38001825,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26166187 results 2017 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/29149915 quality of intervention delivery,05/12/2011,31/07/2013,20/11/2017,Completed,No longer recruiting,,
ISRCTN15635876,,2014 Results article in https://pubmed.ncbi.nlm.nih.gov/25121986/ results (added 03/06/2020),15/04/2012,01/12/2013,03/06/2020,Completed,No longer recruiting,,
ISRCTN70443973,,,01/09/2012,31/08/2015,12/08/2020,Completed,No longer recruiting,,
ISRCTN50627997,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28729321 results,01/10/2012,30/09/2013,25/07/2017,Completed,No longer recruiting,,
ISRCTN41421863,Basic results in https://www.clinicaltrialsregister.eu/ctr-search/trial/2011-003695-36/results,,15/09/2012,16/05/2019,09/09/2020,Completed,No longer recruiting,2011-003695-36,
ISRCTN02275221,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28625832 results 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28993261 results 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/33183883/ results (added 16/11/2020),01/09/2012,30/09/2014,16/11/2020,Completed,No longer recruiting,,
ISRCTN67699666,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26506580 results,15/02/2012,31/12/2013,28/10/2015,Completed,No longer recruiting,,
ISRCTN88275061,,2014 Results article in https://www.ncbi.nlm.nih.gov/pubmed/25065535 results 2015 Results article in https://pubmed.ncbi.nlm.nih.gov/25011381/ results 2015 Interim results article in https://www.ncbi.nlm.nih.gov/pubmed/25927125 interim results,05/01/2009,20/04/2011,11/05/2018,Completed,No longer recruiting,,
ISRCTN92443999,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23683841 protocol (added 25/10/2013) 2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27103215 results (added 16/04/2019) 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/26367519 results (added 16/04/2019) 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30543642 results (added 16/04/2019),20/11/2011,30/06/2014,16/04/2019,Completed,No longer recruiting,,NCT01542957
ISRCTN03978701,,2015 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/26297361 protocol 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29733563 results,01/10/2012,01/10/2016,29/08/2019,Completed,No longer recruiting,2012-000145-12,NCT02376335
ISRCTN73255764,,2015 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/25880969 protocol 2018 Results article in http://www.ncbi.nlm.nih.gov/pubmed/29617585 results,26/06/2012,31/03/2016,11/12/2018,Completed,No longer recruiting,2012-000599-40,
ISRCTN11517275,,2012 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23231750 protocol 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26962902 results,11/06/2012,02/07/2014,11/03/2016,Completed,No longer recruiting,,
ISRCTN54577342,,2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24521107 results,10/09/2012,26/10/2012,12/06/2014,Completed,No longer recruiting,,
ISRCTN68270512,,2014 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/24621122 protocol 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27091854 results,01/09/2012,31/08/2014,04/10/2018,Completed,No longer recruiting,,
ISRCTN35449781,,,01/10/2012,01/01/2013,08/06/2017,Completed,No longer recruiting,,
ISRCTN16472838,,,02/01/2012,31/12/2012,02/10/2017,Completed,No longer recruiting,,
ISRCTN17864069,,2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26265678 results,08/07/2012,30/10/2013,13/08/2015,Completed,No longer recruiting,,
ISRCTN13894787,,2014 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/24621122 protocol 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26720473 results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/29053808 results,01/09/2012,31/05/2016,23/10/2017,Completed,No longer recruiting,,
ISRCTN31937503,,2012 Results article in http://www.ncbi.nlm.nih.gov/pubmed/22952172 results 2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24435517 results 2018 Results article in http://www.ncbi.nlm.nih.gov/pubmed/29878034 results 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/33829230/ (added 09/04/2021),18/03/2008,30/11/2012,09/04/2021,Completed,No longer recruiting,,
ISRCTN86833638,,,01/02/2012,30/06/2025,05/01/2017,Ongoing,No longer recruiting,,NCT02520544
ISRCTN04968978,,,01/11/2012,31/01/2013,26/08/2016,Completed,No longer recruiting,,
ISRCTN92448857,Basic results see attached file ISRCTN92448857_BasicResults_20Dec17.pdf (added 22/01/2018),2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/24165031 protocol,01/02/2013,30/12/2016,22/01/2018,Completed,No longer recruiting,,
ISRCTN49236605,,,01/11/2011,08/08/2012,09/11/2015,Stopped,Stopped,,
ISRCTN35648481,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/24041337 protocol 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30624670 results (added 10/01/2019),01/10/2012,06/06/2014,29/08/2019,Completed,No longer recruiting,2011-004890-10,
ISRCTN70595405,,2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30081223 results,26/02/2012,26/11/2013,07/08/2018,Completed,No longer recruiting,,NCT02066233
ISRCTN25006406,,,08/08/2012,31/03/2019,24/04/2020,Completed,No longer recruiting,,
ISRCTN67886141,,,15/06/2012,15/06/2015,14/08/2020,Completed,No longer recruiting,,
ISRCTN24438635,Basic results in https://clinicaltrials.gov/ct2/show/results/NCT01671748,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/25619411 results,13/08/2012,31/10/2013,20/04/2018,Completed,No longer recruiting,,NCT01671748
ISRCTN06552809,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/25193822 early results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27221810 final results,31/08/2012,08/09/2014,02/05/2017,Completed,No longer recruiting,,
ISRCTN71211809,,,01/03/2011,01/05/2012,12/06/2014,Completed,No longer recruiting,,
ISRCTN45945396,,2012 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23273042 protocol,01/03/2012,01/04/2014,12/05/2014,Completed,No longer recruiting,,
ISRCTN96465010,,2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24378880 results,01/09/2012,30/06/2013,11/08/2016,Completed,No longer recruiting,,
ISRCTN41918400,,2020 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30668211 results (added 28/01/2019),03/09/2012,03/09/2014,28/01/2019,Completed,No longer recruiting,,
ISRCTN73411795,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27132696 results 2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29054815 results,01/11/2012,27/11/2015,28/03/2019,Completed,No longer recruiting,,
ISRCTN49672274,,2009 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/19566941 protocol 2013 Results article in https://www.ncbi.nlm.nih.gov/pubmed/23571642 results,01/03/2009,01/02/2011,14/11/2018,Completed,No longer recruiting,,
ISRCTN97846009,,2012 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23039709 protocol 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26143456 results 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26359230 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27581467 results 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29386046 results,01/07/2012,30/09/2013,14/02/2018,Completed,No longer recruiting,,
ISRCTN63455839,,2013 Results article in http://www.ncbi.nlm.nih.gov/pubmed/23984830 results 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26289950 results,15/08/2012,15/10/2012,22/05/2017,Completed,No longer recruiting,,
ISRCTN57333945,,,11/07/2012,31/01/2014,12/05/2014,Completed,No longer recruiting,,
ISRCTN72610588,,,01/04/2008,01/04/2011,12/06/2014,Completed,No longer recruiting,,
ISRCTN23905886,,2018 Results article in https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6348328/ results (added 04/11/2019),01/01/2012,31/12/2016,04/11/2019,Completed,No longer recruiting,,
ISRCTN05815264,,2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25301251 results,01/08/2012,31/12/2012,05/12/2014,Completed,No longer recruiting,,
ISRCTN91799042,,2013 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25077100 results,01/04/2010,30/09/2010,04/08/2014,Completed,No longer recruiting,,
ISRCTN88634530,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25683066 results,20/07/2012,30/06/2014,04/08/2015,Completed,No longer recruiting,,
ISRCTN45203373,,2015 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/25939584 protocol 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31637972 results (added 23/10/2019) 2020 Results article in https://doi.org/10.3310/hta24240 results (added 01/06/2020),01/01/2013,31/12/2018,01/06/2020,Completed,No longer recruiting,,
ISRCTN94772165,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26537496 results,01/08/2012,01/02/2013,04/04/2016,Completed,No longer recruiting,,
ISRCTN05474560,,,23/05/2012,21/03/2014,27/09/2016,Completed,No longer recruiting,,
ISRCTN37143779,,2013 Results article in https://pubmed.ncbi.nlm.nih.gov/23485660/ results (added 17/12/2020),16/01/2012,14/04/2012,17/12/2020,Completed,No longer recruiting,,
ISRCTN98903916,,,03/08/2012,07/09/2012,13/09/2016,Completed,No longer recruiting,,
ISRCTN46532656,,2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27424661 results,01/01/2012,31/12/2012,27/04/2018,Completed,No longer recruiting,,
ISRCTN14930255,,2014 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/25280869 protocol 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27444687 results 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/33020099/ results (added 08/10/2020),06/08/2012,30/06/2019,08/10/2020,Completed,No longer recruiting,,
ISRCTN46615946,,2015 Results article in https://www.ncbi.nlm.nih.gov/pubmed/25905587 results,14/06/2013,11/12/2014,01/03/2019,Completed,No longer recruiting,2012-001394-87,
ISRCTN29234515,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28712591 results (added 29/01/2019) 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/33782413/ (added 31/03/2021),05/12/2012,20/06/2016,31/03/2021,Completed,No longer recruiting,2012-004100-35,
ISRCTN75061806,Basic results in http://clinicaltrials.servier.com/wp-content/uploads/CL3-20098-078_synopsis_report.pdf,,01/11/2012,31/07/2014,18/04/2018,Completed,No longer recruiting,,
ISRCTN10644347,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25654216 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27117437 results,14/06/2012,15/12/2013,25/01/2022,Completed,No longer recruiting,,
ISRCTN79508741,,2018 Results article in https://pubmed.ncbi.nlm.nih.gov/29705152/ results (added 29/05/2020),01/01/2012,01/01/2015,29/05/2020,Completed,No longer recruiting,,
ISRCTN26037089,,,01/10/2007,01/11/2011,17/06/2014,Completed,No longer recruiting,,
ISRCTN16094368,,,15/10/2010,12/05/2011,05/10/2016,Completed,No longer recruiting,,
ISRCTN91404229,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28830555 results,01/05/2009,01/04/2013,24/08/2017,Completed,No longer recruiting,,
ISRCTN45127327,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23286311 protocol 2014 Results article in https://www.ncbi.nlm.nih.gov/pubmed/25218600 results (added 21/01/2019),01/09/2012,31/05/2013,21/01/2019,Completed,No longer recruiting,2011-006244-73,
ISRCTN49958194,,2017 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/28587616 protocol 2021 Results article in https://pubmed.ncbi.nlm.nih.gov/33225626/ (added 12/04/2021),18/10/2012,30/05/2018,12/04/2021,Completed,No longer recruiting,2011-000958-30,
ISRCTN68233036,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25582412 results,10/01/2011,15/12/2011,22/06/2017,Completed,No longer recruiting,,
ISRCTN01504995,,,01/08/2012,01/11/2012,18/01/2019,Stopped,Stopped,,
ISRCTN01687353,,2013 Results article in http://www.ncbi.nlm.nih.gov/pubmed/23650900 results,01/09/2011,01/08/2012,20/06/2014,Completed,No longer recruiting,,
ISRCTN90916365,,2015 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/26187496 protocol 2018 Results article in http://www.ncbi.nlm.nih.gov/pubmed/29651981 results 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29621901 results (added 11/07/2019),01/11/2012,31/01/2017,11/07/2019,Completed,No longer recruiting,,
ISRCTN79430721,,2010 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/19891808 protocol 2011 Results article in http://www.ncbi.nlm.nih.gov/pubmed/21160053 resultsl 2014 Results article in https://www.ncbi.nlm.nih.gov/pubmed/23628450 results,01/04/2008,01/12/2010,01/10/2018,Completed,No longer recruiting,,
ISRCTN88066041,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30466485 results,01/06/2012,31/05/2014,26/11/2018,Completed,No longer recruiting,,
ISRCTN42483402,,2012 Results article in http://www.ncbi.nlm.nih.gov/pubmed/23166730 results,01/06/2010,30/09/2010,30/06/2017,Completed,No longer recruiting,,
ISRCTN99944116,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23714362 protocol 2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24982490 results,07/08/2012,07/08/2013,27/11/2015,Completed,No longer recruiting,,
ISRCTN25616490,,2016 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/27634489 protocol 2017 Interim results article in https://www.ncbi.nlm.nih.gov/pubmed/29259055 feasibility trial results,01/07/2013,30/09/2019,22/03/2022,Completed,No longer recruiting,,
ISRCTN73047833,,2012 Results article in http://www.ncbi.nlm.nih.gov/pubmed/22453648 results 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26022961 results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28153870 results,03/09/2012,30/08/2013,04/01/2019,Completed,No longer recruiting,,
ISRCTN79599220,,2014 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/25344736 protocol,01/07/2012,01/11/2015,04/11/2016,Completed,No longer recruiting,,
ISRCTN07603227,,2014 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/24898548 protocol,01/02/2012,01/06/2014,24/02/2015,Completed,No longer recruiting,,
ISRCTN50436483,,2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31080129 results (added 14/05/2019) 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31855148 results against ISRCTN43958015 (added 20/12/2019),01/10/2012,01/01/2019,20/12/2019,Completed,No longer recruiting,,
ISRCTN45035509,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29539274 results 2019 Results article in https://pubmed.ncbi.nlm.nih.gov/30863852/ results (added 17/06/2020),01/09/2012,01/06/2017,17/06/2020,Completed,No longer recruiting,,
ISRCTN77916487,,2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27233359 results,11/02/2010,19/10/2010,31/05/2016,Completed,No longer recruiting,,
ISRCTN09271028,,,30/05/2009,15/07/2009,20/06/2014,Completed,No longer recruiting,,
ISRCTN73730513,,,19/06/2010,30/08/2010,16/06/2014,Completed,No longer recruiting,,
ISRCTN20317064,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23531019 protocol 2015 Results article in https://pubmed.ncbi.nlm.nih.gov/26318269/ results (added 25/06/2020) 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/31822030/ results (added 25/06/2020) 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/32848954/ results (added 02/09/2020),01/03/2011,01/03/2015,02/09/2020,Completed,No longer recruiting,,
ISRCTN03683971,,,01/01/2008,01/01/2014,25/08/2016,Completed,No longer recruiting,,
ISRCTN81456207,,2013 Results article in http://www.ncbi.nlm.nih.gov/pubmed/24304689 results 2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/24370208 protocol 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26453575 results 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28931531 results,01/08/2012,31/03/2013,12/03/2018,Completed,No longer recruiting,,
ISRCTN52913838,,2013 Results article in https://www.ncbi.nlm.nih.gov/pubmed/23591120 results (added 27/11/2019),14/09/2009,28/04/2011,27/11/2019,Completed,No longer recruiting,,
ISRCTN12722296,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29758392 fMRI results (added 26/02/2019) 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29356899 results (added 26/02/2019) 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30683074 fMRI results (added 20/11/2019),15/09/2012,15/09/2013,20/11/2019,Completed,No longer recruiting,,
ISRCTN56080673,,2015 Results article in https://www.ncbi.nlm.nih.gov/pubmed/26373201 results,20/06/2012,28/06/2013,27/02/2018,Completed,No longer recruiting,,
ISRCTN47846578,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23537403 protocol 2017 Results article in https://pubmed.ncbi.nlm.nih.gov/28795638/ results (added 25/02/2021),01/06/2012,01/01/2014,25/02/2021,Completed,No longer recruiting,,
ISRCTN10942146,,,01/01/2008,31/12/2008,13/10/2016,Completed,No longer recruiting,,
ISRCTN72290421,,2003 Results article in http://www.ncbi.nlm.nih.gov/pubmed/14702863 results 2006 Results article in http://www.ncbi.nlm.nih.gov/pubmed/16671973 results 2008 Results article in http://www.ncbi.nlm.nih.gov/pubmed/18785372 results 2013 Results article in http://www.ncbi.nlm.nih.gov/pubmed/23565835 results,01/11/1997,30/09/1999,25/08/2015,Completed,No longer recruiting,,
ISRCTN14689382,,2015 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/26489663 protocol 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28383867 results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28359862 results,01/09/2012,31/08/2014,07/04/2017,Completed,No longer recruiting,2011-005476-41,
ISRCTN58887461,,,01/03/2012,30/06/2012,13/12/2019,Completed,No longer recruiting,,
ISRCTN69543196,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28282501 results,01/11/2011,01/05/2013,13/03/2017,Completed,No longer recruiting,,
ISRCTN21659064,,2017 Results article in https://www.ncbi.nlm.nih.gov/pubmed/27651513 results (added 22/01/2019),09/05/2011,01/09/2012,22/01/2019,Completed,No longer recruiting,,
ISRCTN79066838,,2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31511044 feasibility study results in ICU patients (added 13/09/2019) 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31725748 results in ICU patients (added 15/11/2019),30/09/2010,01/03/2013,15/11/2019,Completed,No longer recruiting,,
ISRCTN27312734,,2012 Results article in http://www.ncbi.nlm.nih.gov/pubmed/21795290 results,01/11/2007,01/07/2008,14/01/2016,Completed,No longer recruiting,,
ISRCTN57199411,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29575043 results (added 21/01/2019),13/01/2012,31/03/2014,21/01/2019,Completed,No longer recruiting,,
ISRCTN97201297,,2019 Preprint results in https://doi.org/10.1101/524322 results,18/06/2012,07/09/2012,04/02/2019,Completed,No longer recruiting,,
ISRCTN34433361,,,01/07/2012,30/06/2014,30/07/2012,Completed,No longer recruiting,,
ISRCTN34381594,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/24066730 protocol,01/01/2012,31/12/2016,24/04/2014,Completed,No longer recruiting,,
ISRCTN50658915,,2014 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25409454 results,01/08/2012,05/12/2012,09/07/2015,Completed,No longer recruiting,,
ISRCTN39953901,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25399699 results,30/07/2012,30/06/2013,08/04/2016,Completed,No longer recruiting,,
ISRCTN21597243,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26385666 results,03/03/2011,03/03/2013,21/09/2015,Completed,No longer recruiting,,
ISRCTN19093443,,,14/03/2012,31/12/2012,25/08/2016,Completed,No longer recruiting,,
ISRCTN85757829,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23706959 protocol 2014 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/25416527 strategies 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25926146 results 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25956718 results,01/09/2012,01/02/2013,29/08/2019,Completed,No longer recruiting,,NCT02105532
ISRCTN65705512,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23782870 protocol 2020 Results article in https://pubmed.ncbi.nlm.nih.gov/31988226/ results (added 04/03/2021),24/09/2012,06/05/2013,04/03/2021,Completed,No longer recruiting,,
ISRCTN66678006,,,01/06/2012,01/12/2012,29/03/2018,Completed,No longer recruiting,,
ISRCTN83899392,,,02/09/2012,15/12/2012,15/01/2016,Completed,No longer recruiting,,
ISRCTN59144167,,2014 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/25391338 protocol 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26863355 results,30/09/2012,30/12/2015,26/02/2016,Completed,No longer recruiting,,
ISRCTN21206220,,,15/01/2012,30/04/2013,16/06/2014,Completed,No longer recruiting,,
ISRCTN15303706,,,26/07/2011,26/05/2012,25/07/2012,Completed,No longer recruiting,,
ISRCTN43958015,,2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31080095 result (added 14/05/2019) 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/31855148 comparative results against ISRCTN50436483 (added 20/12/2019),01/10/2012,01/01/2019,20/12/2019,Completed,No longer recruiting,,
ISRCTN71969151,,2016 Abstract results in https://onlinelibrary.wiley.com/doi/epdf/10.1002/bjs.9938 results,20/02/2012,01/10/2013,06/07/2018,Completed,No longer recruiting,,
ISRCTN87144429,,,12/03/2012,12/03/2014,14/05/2019,Completed,No longer recruiting,,NCT01583504
ISRCTN10888758,,2014 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/25179366 protocol 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25517348 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26903582 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27302238 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27421546 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27491736 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27601379 results 2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27827328 results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28379802 results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28351963 results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28389610 results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28531910 results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28432266 results 2017 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28436305 results 2018 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28404769 results 2018 Results article in http://www.ncbi.nlm.nih.gov/pubmed/29321337 results 2018 Results article in http://www.ncbi.nlm.nih.gov/pubmed/28799861 results 2018 Results article in http://www.ncbi.nlm.nih.gov/pubmed/29040040 results 2018 Results article in http://www.ncbi.nlm.nih.gov/pubmed/29365017 results 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30571406 results 2019 Results article in http://www.ncbi.nlm.nih.gov/pubmed/30297537 results 2019 Other publications in https://www.ncbi.nlm.nih.gov/pubmed/31825939 post hoc analysis (added 12/12/2019) 2021 Abstract results in https://pubmed.ncbi.nlm.nih.gov/34645287/ Economic evaluation (added 15/10/2021),01/12/2010,01/01/2015,15/10/2021,Completed,No longer recruiting,,
ISRCTN63138435,,2013 Results article in http://www.ncbi.nlm.nih.gov/pubmed/23853004 results,01/01/2011,31/12/2011,29/09/2014,Completed,No longer recruiting,,
ISRCTN03147572,,2012 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23114081 protocol 2016 Results article in https://www.ncbi.nlm.nih.gov/pubmed/26565005 results (added 23/01/2019),13/11/2012,18/02/2015,23/01/2019,Completed,No longer recruiting,,
ISRCTN45842879,,2014 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/25409776 protocol 2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26481581 qualitative study results 2016 Other publications in http://www.ncbi.nlm.nih.gov/pubmed/27121377 erratum 2017 Funder report results in https://www.journalslibrary.nihr.ac.uk/hta/hta21670#/abstract report to funder,15/08/2012,30/06/2015,17/11/2020,Completed,No longer recruiting,,
ISRCTN32038223,,"2018 Protocol article in https://www.ncbi.nlm.nih.gov/pubmed/28903966 protocol 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/28982956 pre-results 2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30862377 results 2019 Other publications in https://www.ncbi.nlm.nih.gov/pubmed/31264958 NIHR report 2020 Results article in https://www.ncbi.nlm.nih.gov/pubmed/32005561 results (added 03/02/2020) 2019 Other publications in https://www.ncbi.nlm.nih.gov/pubmed/31028768 clinical efficacy, predictors of success, and safety report (added 10/03/2020)",01/10/2012,01/10/2020,10/03/2020,Completed,No longer recruiting,Nil known,NCT03395535
ISRCTN29874209,,2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27365226 results,01/09/2012,30/06/2015,04/07/2016,Completed,No longer recruiting,,
ISRCTN55991918,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26642329 results 2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29396897 results (added 18/12/2019),01/07/2012,31/07/2014,18/12/2019,Completed,No longer recruiting,,
ISRCTN81659509,,,01/06/2012,30/12/2014,27/07/2016,Completed,No longer recruiting,,
ISRCTN56149622,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/25587699 results,01/10/2012,01/01/2025,22/07/2020,Stopped,Stopped,,
ISRCTN97738113,,2018 Results article in https://www.ncbi.nlm.nih.gov/pubmed/29730334 results (added 22/01/2019),16/04/2012,31/05/2014,22/01/2019,Completed,No longer recruiting,,
ISRCTN99826269,,2019 Results article in https://www.ncbi.nlm.nih.gov/pubmed/30850441 results (added 08/04/2019),01/05/2012,30/04/2014,08/04/2019,Completed,No longer recruiting,,
ISRCTN25681641,,2016 Results article in http://www.ncbi.nlm.nih.gov/pubmed/27165955 results,05/04/2012,23/12/2012,12/05/2016,Completed,No longer recruiting,,
ISRCTN57842461,,2013 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/24359122 protocol,30/09/2012,30/09/2015,15/10/2020,Completed,No longer recruiting,2012-003945-14,
ISRCTN15124653,,2015 Results article in http://www.ncbi.nlm.nih.gov/pubmed/26510020 results,04/07/2012,31/01/2014,31/03/2016,Completed,No longer recruiting,2011-000601-49,NCT01682772
ISRCTN02293102,,,25/06/2012,23/07/2013,29/01/2018,Completed,No longer recruiting,,
ISRCTN73931675,,2012 Protocol article in http://www.ncbi.nlm.nih.gov/pubmed/23158080 protocol 2015 Results article in https://www.ncbi.nlm.nih.gov/pubmed/26025368 results (added 18/01/2019),03/09/2012,20/12/2013,18/01/2019,Completed,No longer recruiting,,
